Area,Year,Real GDP (Millions),Real GDP Quality Index,Current-Dollar GDP (Millions),Per Capita Personal Income,PCEPI,PCEPI2012,Real Per Capita Personal Income,Type
New Jersey,1998,433564.0,83.83,319861.3,34663.0,75.07041666666667,100.0,46173.98109552697,State
New Mexico,1998,66944.0,76.137,50658.7,21380.0,75.07041666666667,100.0,28479.927179481485,State
New York,1998,997251.9,75.081,745502.4,32040.0,75.07041666666667,100.0,42679.928289550364,State
North Carolina,1998,326786.2,73.419,246890.4,25440.0,75.07041666666667,100.0,33888.18276174036,State
North Dakota,1998,23674.9,45.676,16816.6,23285.0,75.07041666666667,100.0,31017.544638644824,State
Ohio,1998,487532.8,89.334,361638.1,26442.0,75.07041666666667,100.0,35222.929582780605,State
Oklahoma,1998,117596.0,67.246,81196.9,22006.0,75.07041666666667,100.0,29313.810921967706,State
Oregon,1998,123994.7,71.012,105146.8,26023.0,75.07041666666667,100.0,34664.78695003025,State
Pennsylvania,1998,509550.8,78.643,373748.5,27336.0,75.07041666666667,100.0,36413.81147700214,State
Rhode Island,1998,41912.5,81.253,30818.5,27552.0,75.07041666666667,100.0,36701.54133063956,State
South Carolina,1998,139526.3,78.554,103456.3,22946.0,75.07041666666667,100.0,30565.968618352763,State
South Dakota,1998,26440.4,60.227,20228.1,24277.0,75.07041666666667,100.0,32338.97063312778,State
Tennessee,1998,223711.3,78.127,167394.6,25116.0,75.07041666666667,100.0,33456.58798128423,State
Texas,1998,925556.7,65.126,645142.6,25556.0,75.07041666666667,100.0,34042.7043498049,State
Utah,1998,85724.8,66.19,62296.1,22266.0,75.07041666666667,100.0,29660.152412457188,State
Vermont,1998,20678.0,70.715,16080.7,25693.0,75.07041666666667,100.0,34225.19967363975,State
Virginia,1998,315091.0,70.652,231384.0,28992.0,75.07041666666667,100.0,38619.740354889014,State
Washington,1998,288206.9,71.956,209741.1,29513.0,75.07041666666667,100.0,39313.75541852372,State
West Virginia,1998,59847.4,85.105,40014.6,20447.0,75.07041666666667,100.0,27237.094061686526,State
Wisconsin,1998,216955.9,78.293,162609.3,27031.0,75.07041666666667,100.0,36007.52626700486,State
Wyoming,1998,25530.4,65.706,14840.2,25755.0,75.07041666666667,100.0,34307.78879829493,State
Alabama,1999,154900.2,81.851,115680.1,23333.0,76.16416666666667,100.0,30635.141197194655,State
Alaska,1999,40590.5,69.643,24744.3,29951.0,76.16416666666667,100.0,39324.266660831316,State
Arizona,1999,198699.9,73.202,155755.8,24960.0,76.16416666666667,100.0,32771.31634517544,State
Arkansas,1999,89115.2,82.14,66811.3,21871.0,76.16416666666667,100.0,28715.603356784133,State
California,1999,1574305.9,74.502,1241899.7,30773.0,76.16416666666667,100.0,40403.51433854502,State
Colorado,1999,215294.6,77.773,163763.3,31305.0,76.16416666666667,100.0,41102.00553628674,State
Connecticut,1999,202351.7,83.994,152287.5,39700.0,76.16416666666667,100.0,52124.24915478625,State
Delaware,1999,54236.7,86.981,40345.1,31181.0,76.16416666666667,100.0,40939.19931726424,State
District of Columbia,1999,84756.2,75.569,58819.2,39798.0,76.16416666666667,100.0,52252.918585949206,State
Florida,1999,615238.2,79.024,458058.9,27689.0,76.16416666666667,100.0,36354.36611704979,State
Georgia,1999,377127.4,84.224,289187.9,27254.0,76.16416666666667,100.0,35783.231397091804,State
Hawaii,1999,54852.1,76.284,38990.6,27768.0,76.16416666666667,100.0,36458.08943400768,State
Idaho,1999,42510.4,72.887,34239.9,23688.0,76.16416666666667,100.0,31101.23964681554,State
Illinois,1999,618148.4,85.098,460331.1,31068.0,76.16416666666667,100.0,40790.835585413086,State
Indiana,1999,254089.2,84.552,193147.3,26600.0,76.16416666666667,100.0,34924.559887086005,State
Iowa,1999,116523.0,73.498,87782.4,25740.0,76.16416666666667,100.0,33795.41998096217,State
Kansas,1999,111005.5,78.273,81883.8,26927.0,76.16416666666667,100.0,35353.89564208891,State
Kentucky,1999,155611.5,87.352,115106.8,23224.0,76.16416666666667,100.0,30492.029278860355,State
Louisiana,1999,211952.5,90.045,125807.3,22746.0,76.16416666666667,100.0,29864.437563596177,State
Maine,1999,46351.4,86.348,34413.2,25779.0,76.16416666666667,100.0,33846.62516275151,State
Maryland,1999,240946.2,72.46,180261.6,33036.0,76.16416666666667,100.0,43374.72783570576,State
Massachusetts,1999,331602.3,74.868,264644.4,34967.0,76.16416666666667,100.0,45910.04081096753,State
Michigan,1999,429936.2,101.714,338312.4,28629.0,76.16416666666667,100.0,37588.54229351073,State
Minnesota,1999,232068.1,77.79,175759.3,30303.0,76.16416666666667,100.0,39786.42625031456,State
Mississippi,1999,87638.0,87.247,63879.0,20709.0,76.16416666666667,100.0,27189.95153013775,State
Missouri,1999,238452.0,87.816,177738.0,26342.0,76.16416666666667,100.0,34585.81791524886,State
Montana,1999,30461.3,71.943,20812.2,21794.0,76.16416666666667,100.0,28614.50594658468,State
Nebraska,1999,73625.7,71.672,53685.2,27545.0,76.16416666666667,100.0,36165.30083044301,State
Nevada,1999,101394.7,78.41,71595.9,30405.0,76.16416666666667,100.0,39920.34749499436,State
New Hampshire,1999,53084.5,77.498,41955.2,31852.0,76.16416666666667,100.0,41820.19103471668,State
New Jersey,1999,447872.1,86.596,336064.9,35965.0,76.16416666666667,100.0,47220.36828342286,State
New Mexico,1999,70487.9,80.168,53017.3,21587.0,76.16416666666667,100.0,28342.724597087432,State
New York,1999,1051337.6,79.153,795230.0,33740.0,76.16416666666667,100.0,44299.04701467225,State
North Carolina,1999,345457.6,77.614,265375.7,26239.0,76.16416666666667,100.0,34450.58371718984,State
North Dakota,1999,23770.7,45.861,17067.2,23705.0,76.16416666666667,100.0,31123.559854262174,State
Ohio,1999,499292.8,91.489,376465.2,27200.0,76.16416666666667,100.0,35712.33191461426,State
Oklahoma,1999,119685.4,68.441,84223.9,22412.0,76.16416666666667,100.0,29425.911134938782,State
Oregon,1999,126739.2,72.584,107621.5,26617.0,76.16416666666667,100.0,34946.88009453264,State
Pennsylvania,1999,524960.9,81.022,390916.8,28489.0,76.16416666666667,100.0,37404.728820420794,State
Rhode Island,1999,43144.9,83.642,32267.2,28496.0,76.16416666666667,100.0,37413.91949407529,State
South Carolina,1999,146104.4,82.258,110241.7,23764.0,76.16416666666667,100.0,31201.024103635784,State
South Dakota,1999,27463.4,62.557,21078.7,25306.0,76.16416666666667,100.0,33225.5982143834,State
Tennessee,1999,230895.6,80.636,176281.9,25807.0,76.16416666666667,100.0,33883.3878573695,State
Texas,1999,961513.2,67.656,679870.3,26530.0,76.16416666666667,100.0,34832.653150541046,State
Utah,1999,89282.0,68.937,66019.3,23081.0,76.16416666666667,100.0,30304.276945632784,State
Vermont,1999,21830.2,74.655,17176.9,26963.0,76.16416666666667,100.0,35401.1619637406,State
Virginia,1999,332373.3,74.528,249801.1,30637.0,76.16416666666667,100.0,40224.95267897195,State
Washington,1999,308949.5,77.135,229797.9,30958.0,76.16416666666667,100.0,40646.41071369957,State
West Virginia,1999,61783.9,87.858,41714.3,21037.0,76.16416666666667,100.0,27620.60023851986,State
Wisconsin,1999,225783.7,81.479,172224.1,27933.0,76.16416666666667,100.0,36674.72674157795,State
Wyoming,1999,26597.7,68.453,15679.7,27518.0,76.16416666666667,100.0,36129.85108920424,State
Alabama,2000,157221.3,83.078,119851.7,24306.0,78.0905,100.0,31125.424987674556,State
Alaska,2000,39406.6,67.612,26806.6,32044.0,78.0905,100.0,41034.44080906128,State
Arizona,2000,208439.5,76.79,165110.7,26388.0,78.0905,100.0,33791.56235393549,State
Arkansas,2000,89871.7,82.837,68678.5,22781.0,78.0905,100.0,29172.56260364577,State
California,2000,1696172.4,80.27,1356975.4,33410.0,78.0905,100.0,42783.693278951985,State
Colorado,2000,231589.8,83.66,180063.2,34029.0,78.0905,100.0,43576.36332204301,State
Connecticut,2000,216157.6,89.725,165614.3,43070.0,78.0905,100.0,55153.95598696384,State
Delaware,2000,56550.2,90.691,43451.3,33884.0,78.0905,100.0,43390.68132487306,State
District of Columbia,2000,85355.9,76.104,61092.9,43524.0,78.0905,100.0,55735.33272293045,State
Florida,2000,642708.2,82.552,490429.8,29466.0,78.0905,100.0,37733.14295592934,State
Georgia,2000,389727.3,87.038,305572.0,28851.0,78.0905,100.0,36945.5951748292,State
Hawaii,2000,55891.1,77.729,41096.8,29319.0,78.0905,100.0,37544.89982776393,State
Idaho,2000,47295.4,81.091,38083.1,25183.0,78.0905,100.0,32248.480929178324,State
Illinois,2000,640723.4,88.205,487014.6,33212.0,78.0905,100.0,42530.14131040267,State
Indiana,2000,264121.7,87.89,203801.1,28153.0,78.0905,100.0,36051.76045741799,State
Iowa,2000,121924.2,76.905,93112.0,27390.0,78.0905,100.0,35074.688982654734,State
Kansas,2000,114030.5,80.406,86099.0,28253.0,78.0905,100.0,36179.81700719037,State
Kentucky,2000,151495.1,85.041,114169.2,24868.0,78.0905,100.0,31845.102797395328,State
Louisiana,2000,205722.6,87.398,132640.8,23997.0,78.0905,100.0,30729.7302488779,State
Maine,2000,48490.2,90.332,36890.3,27491.0,78.0905,100.0,35204.02609792484,State
Maryland,2000,250771.7,75.415,192021.4,35591.0,78.0905,100.0,45576.60662948758,State
Massachusetts,2000,358121.5,80.855,288791.0,38594.0,78.0905,100.0,49422.144819152134,State
Michigan,2000,438463.8,103.731,352152.4,30344.0,78.0905,100.0,38857.47946293082,State
Minnesota,2000,247802.6,83.064,191515.0,32448.0,78.0905,100.0,41551.78927014169,State
Mississippi,2000,88077.5,87.684,65673.1,21681.0,78.0905,100.0,27763.940556149595,State
Missouri,2000,244705.9,90.119,186650.0,27941.0,78.0905,100.0,35780.28057190055,State
Montana,2000,31241.1,73.785,21876.7,23081.0,78.0905,100.0,29556.732252962905,State
Nebraska,2000,76368.1,74.342,56527.5,29039.0,78.0905,100.0,37186.341488401275,State
Nevada,2000,105635.4,81.69,76833.1,31986.0,78.0905,100.0,40960.168010193294,State
New Hampshire,2000,56779.4,82.892,45342.0,35335.0,78.0905,100.0,45248.78186207028,State
New Jersey,2000,471426.9,91.151,361005.4,39216.0,78.0905,100.0,50218.65655873634,State
New Mexico,2000,71652.8,81.493,55105.0,23102.0,78.0905,100.0,29583.624128415107,State
New York,2000,1092188.2,82.229,841181.3,36090.0,78.0905,100.0,46215.60881285175,State
North Carolina,2000,356912.5,80.188,278008.5,27510.0,78.0905,100.0,35228.356842381596,State
North Dakota,2000,24706.0,47.665,18100.1,25892.0,78.0905,100.0,33156.401867064495,State
Ohio,2000,509949.2,93.442,392277.2,28598.0,78.0905,100.0,36621.61210390508,State
Oklahoma,2000,124227.6,71.038,91093.9,24178.0,78.0905,100.0,30961.51260396591,State
Oregon,2000,137400.6,78.69,117154.6,28386.0,78.0905,100.0,36350.13221838764,State
Pennsylvania,2000,538790.2,83.156,409159.9,30443.0,78.0905,100.0,38984.25544720548,State
Rhode Island,2000,45178.6,87.584,34466.8,30417.0,78.0905,100.0,38950.96074426467,State
South Carolina,2000,150156.4,84.539,115320.6,25133.0,78.0905,100.0,32184.452654292138,State
South Dakota,2000,29386.1,66.937,22743.3,26825.0,78.0905,100.0,34351.169476440795,State
Tennessee,2000,233732.2,81.627,182247.2,27066.0,78.0905,100.0,34659.785761392224,State
Texas,2000,995661.2,70.059,738677.0,28383.0,78.0905,100.0,36346.290521894465,State
Utah,2000,92498.4,71.42,70295.9,24260.0,78.0905,100.0,31066.51897477926,State
Vermont,2000,23016.8,78.713,18341.1,29014.0,78.0905,100.0,37154.32735095818,State
Virginia,2000,348327.0,78.105,268470.9,32715.0,78.0905,100.0,41893.70025803394,State
Washington,2000,311209.9,77.699,237378.2,32723.0,78.0905,100.0,41903.94478201574,State
West Virginia,2000,61665.7,87.69,42495.6,22317.0,78.0905,100.0,28578.380212701926,State
Wisconsin,2000,232411.7,83.871,180427.3,29556.0,78.0905,100.0,37848.393850724475,State
Wyoming,2000,27435.0,70.608,17152.5,29607.0,78.0905,100.0,37913.702691108396,State
Alabama,2001,156853.2,82.883,122915.5,25057.0,79.65616666666666,100.0,31456.447188646205,State
Alaska,2001,40958.7,70.275,28494.1,33626.0,79.65616666666666,100.0,42213.93196174391,State
Arizona,2001,213166.2,78.532,171909.6,27008.0,79.65616666666666,100.0,33905.723976172594,State
Arkansas,2001,89789.0,82.761,70616.7,23873.0,79.65616666666666,100.0,29970.058815283188,State
California,2001,1692324.1,80.087,1375761.3,34046.0,79.65616666666666,100.0,42741.19810770039,State
Colorado,2001,234979.4,84.884,186695.8,34897.0,79.65616666666666,100.0,43809.53975105506,State
Connecticut,2001,218135.3,90.546,171216.6,45153.0,79.65616666666666,100.0,56684.87687707794,State
Delaware,2001,58372.7,93.614,46096.1,36922.0,79.65616666666666,100.0,46351.715811916634,State
District of Columbia,2001,88440.7,78.854,65442.9,44871.0,79.65616666666666,100.0,56330.855321935735,State
Florida,2001,660659.5,84.858,519058.6,30418.0,79.65616666666666,100.0,38186.62292310493,State
Georgia,2001,394317.3,88.064,317475.5,29762.0,79.65616666666666,100.0,37363.08341894434,State
Hawaii,2001,55678.5,77.433,42585.4,30229.0,79.65616666666666,100.0,37949.35315742451,State
Idaho,2001,46084.5,79.015,37489.0,25799.0,79.65616666666666,100.0,32387.95071316931,State
Illinois,2001,642292.5,88.421,501552.8,34299.0,79.65616666666666,100.0,43058.81319085988,State
Indiana,2001,259474.8,86.344,205470.9,28639.0,79.65616666666666,100.0,35953.274176303574,State
Iowa,2001,120449.8,75.975,94837.8,28162.0,79.65616666666666,100.0,35354.45048196729,State
Kansas,2001,114327.7,80.616,88883.6,29112.0,79.65616666666666,100.0,36547.076288297416,State
Kentucky,2001,151834.3,85.231,117647.9,25596.0,79.65616666666666,100.0,32133.105409290347,State
Louisiana,2001,208617.8,88.628,137901.2,25663.0,79.65616666666666,100.0,32217.21691352626,State
Maine,2001,49471.0,92.16,38605.7,28824.0,79.65616666666666,100.0,36185.522359641545,State
Maryland,2001,261532.9,78.651,205981.0,37076.0,79.65616666666666,100.0,46545.04673210068,State
Massachusetts,2001,362663.8,81.881,296868.7,39872.0,79.65616666666666,100.0,50055.13278946807,State
Michigan,2001,425103.2,100.571,349885.8,30749.0,79.65616666666666,100.0,38602.15886194206,State
Minnesota,2001,247599.4,82.996,196006.1,33490.0,79.65616666666666,100.0,42043.19816210086,State
Mississippi,2001,87309.5,86.92,67174.0,22845.0,79.65616666666666,100.0,28679.51215327543,State
Missouri,2001,243060.4,89.513,190657.1,28690.0,79.65616666666666,100.0,36017.29935116971,State
Montana,2001,31532.6,74.473,22847.6,23996.0,79.65616666666666,100.0,30124.4724723133,State
Nebraska,2001,78180.9,76.106,59607.2,30275.0,79.65616666666666,100.0,38007.1013543626,State
Nevada,2001,106635.3,82.463,80429.2,32461.0,79.65616666666666,100.0,40751.3961045075,State
New Hampshire,2001,57632.6,84.138,46817.5,36747.0,79.65616666666666,100.0,46132.02158443477,State
New Jersey,2001,476616.7,92.154,373698.0,40245.0,79.65616666666666,100.0,50523.39534290085,State
New Mexico,2001,71730.5,81.581,55789.7,24601.0,79.65616666666666,100.0,30883.986801607745,State
New York,2001,1112794.4,83.78,878346.5,37283.0,79.65616666666666,100.0,46804.91361832208,State
North Carolina,2001,359617.0,80.796,288069.5,27838.0,79.65616666666666,100.0,34947.70231222944,State
North Dakota,2001,24909.9,48.058,18889.1,26541.0,79.65616666666666,100.0,33319.454237692415,State
Ohio,2001,502967.6,92.162,396944.5,29323.0,79.65616666666666,100.0,36811.96475686126,State
Oklahoma,2001,128891.2,73.705,97059.6,25608.0,79.65616666666666,100.0,32148.170156317672,State
Oregon,2001,136166.1,77.983,116963.6,28829.0,79.65616666666666,100.0,36191.799337569595,State
Pennsylvania,2001,547260.9,84.464,427108.6,31634.0,79.65616666666666,100.0,39713.18395520749,State
Rhode Island,2001,45749.8,88.692,35862.8,31815.0,79.65616666666666,100.0,39940.410556203016,State
South Carolina,2001,151015.9,85.023,119478.1,25737.0,79.65616666666666,100.0,32310.11618686145,State
South Dakota,2001,29455.2,67.094,23412.1,27645.0,79.65616666666666,100.0,34705.41096420658,State
Tennessee,2001,233362.5,81.498,186441.3,27541.0,79.65616666666666,100.0,34574.84982330307,State
Texas,2001,1020537.8,71.809,773375.5,29644.0,79.65616666666666,100.0,37214.94673984228,State
Utah,2001,93556.7,72.238,73057.6,24925.0,79.65616666666666,100.0,31290.7349713456,State
Vermont,2001,23752.4,81.229,19323.2,30716.0,79.65616666666666,100.0,38560.73080761691,State
Virginia,2001,360601.1,80.857,285635.9,34001.0,79.65616666666666,100.0,42684.70530634791,State
Washington,2001,303673.8,75.818,238418.6,33084.0,79.65616666666666,100.0,41533.507554342934,State
West Virginia,2001,61818.6,87.908,43973.3,23754.0,79.65616666666666,100.0,29820.666740595523,State
Wisconsin,2001,236088.7,85.198,188163.1,30841.0,79.65616666666666,100.0,38717.65525581824,State
Wyoming,2001,29130.5,74.971,18708.3,31347.0,79.65616666666666,100.0,39352.88542213723,State
Alabama,2002,160422.4,84.769,127505.0,25648.0,80.70208333333333,100.0,31781.0878488267,State
Alaska,2002,42979.0,73.741,29756.8,34756.0,80.70208333333333,100.0,43067.04184629682,State
Arizona,2002,220696.7,81.306,180522.3,27353.0,80.70208333333333,100.0,33893.79662854635,State
Arkansas,2002,92950.5,85.675,74113.9,24306.0,80.70208333333333,100.0,30118.18158349898,State
California,2002,1722522.4,81.517,1418429.6,34131.0,80.70208333333333,100.0,42292.58848129695,State
Colorado,2002,235417.3,85.042,190019.0,34438.0,80.70208333333333,100.0,42672.99997418489,State
Connecticut,2002,216677.7,89.941,173248.3,44697.0,80.70208333333333,100.0,55385.18728863877,State
Delaware,2002,56534.5,90.666,45508.3,37658.0,80.70208333333333,100.0,46662.98371066422,State
District of Columbia,2002,91141.5,81.262,69919.5,45147.0,80.70208333333333,100.0,55942.79371143867,State
Florida,2002,689974.0,88.624,553010.3,30810.0,80.70208333333333,100.0,38177.45308103364,State
Georgia,2002,399413.4,89.202,327051.3,30133.0,80.70208333333333,100.0,37338.56519606578,State
Hawaii,2002,56990.8,79.258,44644.2,31257.0,80.70208333333333,100.0,38731.34212768155,State
Idaho,2002,47056.8,80.682,38673.2,26233.0,80.70208333333333,100.0,32505.976198466586,State
Illinois,2002,647517.8,89.141,514361.1,34594.0,80.70208333333333,100.0,42866.30353408885,State
Indiana,2002,265345.1,88.297,212837.8,28918.0,80.70208333333333,100.0,35833.02785450603,State
Iowa,2002,123298.2,77.772,98557.0,28772.0,80.70208333333333,100.0,35652.11554844206,State
Kansas,2002,116195.0,81.932,91584.2,29248.0,80.70208333333333,100.0,36241.93923122596,State
Kentucky,2002,155643.9,87.37,122435.3,26057.0,80.70208333333333,100.0,32287.890130882617,State
Louisiana,2002,213079.4,90.524,139800.9,26289.0,80.70208333333333,100.0,32575.36721997057,State
Maine,2002,50910.4,94.841,40466.2,29572.0,80.70208333333333,100.0,36643.41585564189,State
Maryland,2002,270468.4,81.338,217837.1,38035.0,80.70208333333333,100.0,47130.13398043215,State
Massachusetts,2002,362581.6,81.862,301836.4,39540.0,80.70208333333333,100.0,48995.017683351834,State
Michigan,2002,436802.2,103.338,363660.8,30602.0,80.70208333333333,100.0,37919.715001161676,State
Minnesota,2002,253478.4,84.966,203713.8,33955.0,80.70208333333333,100.0,42074.50241371299,State
Mississippi,2002,88569.4,88.174,69259.9,23219.0,80.70208333333333,100.0,28771.25229109121,State
Missouri,2002,247437.1,91.125,197557.7,29168.0,80.70208333333333,100.0,36142.80920050597,State
Montana,2002,32503.7,76.767,23942.1,24554.0,80.70208333333333,100.0,30425.48467873093,State
Nebraska,2002,79179.8,77.079,61417.3,30599.0,80.70208333333333,100.0,37915.99762500968,State
Nevada,2002,110448.6,85.412,85008.7,32130.0,80.70208333333333,100.0,39813.09858791336,State
New Hampshire,2002,59474.6,86.827,49059.9,36974.0,80.70208333333333,100.0,45815.42194800836,State
New Jersey,2002,484657.1,93.709,386132.5,40474.0,80.70208333333333,100.0,50152.36079200764,State
New Mexico,2002,73909.6,84.06,57808.3,25255.0,80.70208333333333,100.0,31294.111572914782,State
New York,2002,1106150.8,83.28,890258.1,37088.0,80.70208333333333,100.0,45956.68224178434,State
North Carolina,2002,364870.4,81.976,297846.4,27852.0,80.70208333333333,100.0,34512.12019516225,State
North Dakota,2002,26290.8,50.723,20194.7,27218.0,80.70208333333333,100.0,33726.51470170638,State
Ohio,2002,513215.5,94.04,411034.5,29693.0,80.70208333333333,100.0,36793.350027105866,State
Oklahoma,2002,131293.3,75.079,99479.2,26023.0,80.70208333333333,100.0,32245.759867826626,State
Oregon,2002,138932.5,79.567,120665.5,28749.0,80.70208333333333,100.0,35623.61566461006,State
Pennsylvania,2002,555055.9,85.667,440971.7,32133.0,80.70208333333333,100.0,39816.81596406536,State
Rhode Island,2002,47224.5,91.551,37809.2,32807.0,80.70208333333333,100.0,40651.986472881224,State
South Carolina,2002,155275.1,87.421,124863.9,26182.0,80.70208333333333,100.0,32442.78080388259,State
South Dakota,2002,32784.9,74.678,26322.1,27572.0,80.70208333333333,100.0,34165.16508764231,State
Tennessee,2002,240971.7,84.155,195764.3,28113.0,80.70208333333333,100.0,34835.531920386195,State
Texas,2002,1043566.9,73.43,789817.6,29524.0,80.70208333333333,100.0,36583.9378372099,State
Utah,2002,95383.1,73.648,75796.9,25190.0,80.70208333333333,100.0,31213.568422954795,State
Vermont,2002,24570.1,84.026,20273.0,31217.0,80.70208333333333,100.0,38681.77711232156,State
Virginia,2002,364932.4,81.828,295355.7,34498.0,80.70208333333333,100.0,42747.34749722487,State
Washington,2002,307583.2,76.794,245978.5,33212.0,80.70208333333333,100.0,41153.83225340114,State
West Virginia,2002,62834.1,89.352,45580.8,24517.0,80.70208333333333,100.0,30379.637039522935,State
Wisconsin,2002,240543.3,86.805,194658.8,31425.0,80.70208333333333,100.0,38939.51519219351,State
Wyoming,2002,29777.1,76.636,19165.6,31854.0,80.70208333333333,100.0,39471.09998192942,State
Alabama,2003,165134.7,87.26,134152.6,26673.0,82.39758333333333,100.0,32371.095026047486,State
Alaska,2003,42355.3,72.671,32037.9,35996.0,82.39758333333333,100.0,43685.74725593692,State
Arizona,2003,234065.9,86.231,193634.9,28393.0,82.39758333333333,100.0,34458.53488826028,State
Arkansas,2003,96944.5,89.356,78695.1,25595.0,82.39758333333333,100.0,31062.804228683894,State
